route_id,route,capsid_id,capsid,organ,current_dose_vg,current_dose_vg_per_kg,current_auc_isf_amount_vg_h,reference_id,reference_product,reference_auc_isf_amount_vg_h,conservative_reference_auc_isf_amount_vg_h,exposure_margin_reference_over_current,conservative_margin_over_current,assessment,evidence_grade,inference_class,uncertainty_factor,comparator_scope,evidence_note,source_url
iv,Peripheral intravenous,aav9,AAV9,spleen,2800000000000000.0,40000000000000.0,185819285566102.03,zolgensma_iv,ZOLGENSMA (onasemnogene abeparvovec-xioi),511003035306780.56,383252276480085.44,2.75,2.0625,below-conservative-contextual-upper-bound,moderate,approved-same-capsid-route,0.75,approved same capsid route,approved-same-capsid-route; 0.75 evidence haircut applied to the PBPK-projected disclosed-dose organ AUC,https://www.fda.gov/media/126109/download
iv,Peripheral intravenous,aavrh10,AAVrh.10,brain,2800000000000000.0,40000000000000.0,32799229555233.22,aav8_hemophilia_iv,scAAV2/8-LP1-hFIXco long-term hemophilia B study,1111121818160.1973,111112181816.01973,0.033876460917750865,0.003387646091775087,exceeds-conservative-contextual-upper-bound,exploratory,clinical-same-route-cross-capsid,0.1,clinical same route cross capsid,clinical-same-route-cross-capsid; 0.1 evidence haircut applied to the PBPK-projected disclosed-dose organ AUC,https://doi.org/10.1056/NEJMoa2414783
iv,Peripheral intravenous,aavrh10,AAVrh.10,heart,2800000000000000.0,40000000000000.0,184538425523394.0,aav8_hemophilia_iv,scAAV2/8-LP1-hFIXco long-term hemophilia B study,8840005775237.363,884000577523.7363,0.04790333368329683,0.004790333368329683,exceeds-conservative-contextual-upper-bound,exploratory,clinical-same-route-cross-capsid,0.1,clinical same route cross capsid,clinical-same-route-cross-capsid; 0.1 evidence haircut applied to the PBPK-projected disclosed-dose organ AUC,https://doi.org/10.1056/NEJMoa2414783
iv,Peripheral intravenous,aavrh10,AAVrh.10,kidney,2800000000000000.0,40000000000000.0,244964830542343.8,aav8_hemophilia_iv,scAAV2/8-LP1-hFIXco long-term hemophilia B study,14905650444680.781,1490565044468.0781,0.0608481242457547,0.00608481242457547,exceeds-conservative-contextual-upper-bound,exploratory,clinical-same-route-cross-capsid,0.1,clinical same route cross capsid,clinical-same-route-cross-capsid; 0.1 evidence haircut applied to the PBPK-projected disclosed-dose organ AUC,https://doi.org/10.1056/NEJMoa2414783
iv,Peripheral intravenous,aavrh10,AAVrh.10,liver,2800000000000000.0,40000000000000.0,1874185164792410.5,aav8_hemophilia_iv,scAAV2/8-LP1-hFIXco long-term hemophilia B study,105628900965252.38,10562890096525.238,0.05635990666746746,0.005635990666746746,exceeds-conservative-contextual-upper-bound,exploratory,clinical-same-route-cross-capsid,0.1,clinical same route cross capsid,clinical-same-route-cross-capsid; 0.1 evidence haircut applied to the PBPK-projected disclosed-dose organ AUC,https://doi.org/10.1056/NEJMoa2414783
iv,Peripheral intravenous,aavrh10,AAVrh.10,lung,2800000000000000.0,40000000000000.0,843452900376693.0,aav8_hemophilia_iv,scAAV2/8-LP1-hFIXco long-term hemophilia B study,44908847672261.47,4490884767226.147,0.053244049136833616,0.005324404913683362,exceeds-conservative-contextual-upper-bound,exploratory,clinical-same-route-cross-capsid,0.1,clinical same route cross capsid,clinical-same-route-cross-capsid; 0.1 evidence haircut applied to the PBPK-projected disclosed-dose organ AUC,https://doi.org/10.1056/NEJMoa2414783
iv,Peripheral intravenous,aavrh10,AAVrh.10,muscle,2800000000000000.0,40000000000000.0,5971408207076602.0,aav8_hemophilia_iv,scAAV2/8-LP1-hFIXco long-term hemophilia B study,307833811089335.75,30783381108933.58,0.05155129249488048,0.005155129249488049,exceeds-conservative-contextual-upper-bound,exploratory,clinical-same-route-cross-capsid,0.1,clinical same route cross capsid,clinical-same-route-cross-capsid; 0.1 evidence haircut applied to the PBPK-projected disclosed-dose organ AUC,https://doi.org/10.1056/NEJMoa2414783
iv,Peripheral intravenous,aavrh10,AAVrh.10,rest,2800000000000000.0,40000000000000.0,7372025227778668.0,aav8_hemophilia_iv,scAAV2/8-LP1-hFIXco long-term hemophilia B study,380237318107325.25,38023731810732.52,0.05157840706710359,0.00515784070671036,exceeds-conservative-contextual-upper-bound,exploratory,clinical-same-route-cross-capsid,0.1,clinical same route cross capsid,clinical-same-route-cross-capsid; 0.1 evidence haircut applied to the PBPK-projected disclosed-dose organ AUC,https://doi.org/10.1056/NEJMoa2414783
iv,Peripheral intravenous,aavrh10,AAVrh.10,spleen,2800000000000000.0,40000000000000.0,156143316300698.34,aav8_hemophilia_iv,scAAV2/8-LP1-hFIXco long-term hemophilia B study,9185386347612.367,918538634761.2368,0.05882663802223397,0.005882663802223398,exceeds-conservative-contextual-upper-bound,exploratory,clinical-same-route-cross-capsid,0.1,clinical same route cross capsid,clinical-same-route-cross-capsid; 0.1 evidence haircut applied to the PBPK-projected disclosed-dose organ AUC,https://doi.org/10.1056/NEJMoa2414783
iv,Peripheral intravenous,php-eb,PHP.eB,brain,2800000000000000.0,40000000000000.0,22509924773338.62,aav8_hemophilia_iv,scAAV2/8-LP1-hFIXco long-term hemophilia B study,1111121818160.1973,33333654544.805916,0.049361418545309434,0.0014808425563592829,exceeds-conservative-contextual-upper-bound,exploratory,clinical-same-route-cross-capsid-mouse-restricted-capsid,0.03,clinical same route cross capsid mouse restricted capsid,clinical-same-route-cross-capsid-mouse-restricted-capsid; 0.03 evidence haircut applied to the PBPK-projected disclosed-dose organ AUC,https://doi.org/10.1056/NEJMoa2414783
